,User,Tweet,Date,Compound,Positive,Neutral,Negative,Tweets Ago
367,@FoxNews,Facebook data scandal: Academics refused to carry out 'unethical' Cambridge Analytica research https://t.co/0yi4llGMa6 (via @christocarbone),Mon Mar 26 13:55:00 +0000 2018,-0.6249,0.0,0.718,0.282,67
368,@FoxNews,"Troy Edgar, Mayor of Los Alamitos: “When [California] passed this sanctuary law, this law basically conflicts with… https://t.co/wxSWRpBfaW",Mon Mar 26 13:54:01 +0000 2018,-0.3818,0.0,0.867,0.133,68
369,@FoxNews,HomeAway removes rental listing where Iowa family was found dead https://t.co/aOeYdn7oxr,Mon Mar 26 13:46:46 +0000 2018,-0.6486,0.0,0.699,0.301,69
370,@FoxNews,"Facebook denies it collected phone call, SMS data despite media reports https://t.co/d0xDtVPU4i",Mon Mar 26 13:41:33 +0000 2018,-0.4215,0.0,0.797,0.203,70
371,@FoxNews,'The 2nd Amendment Is Outdated': Phillips Talks to Students Marching for Gun Control https://t.co/BJoiCspbj6,Mon Mar 26 13:34:16 +0000 2018,-0.34,0.0,0.844,0.156,71
372,@FoxNews,"BREAKING: US expels 60 Russian diplomats, closes consulate in response to ex-spy poisoning https://t.co/tjKuLoRujW",Mon Mar 26 13:03:16 +0000 2018,-0.7506,0.0,0.652,0.348,72
373,@FoxNews,RT @FoxBusiness: .@POTUS touted the American economy in a tweet on Monday. https://t.co/UNqRnwQ8lI,Mon Mar 26 12:58:45 +0000 2018,-0.0516,0.0,0.902,0.098,73
374,@FoxNews,"Former MLB slugger Albert Belle arrested at spring training game in Arizona, report says https://t.co/84HxoJHbKW",Mon Mar 26 12:40:11 +0000 2018,-0.4767,0.0,0.819,0.181,74
375,@FoxNews,.@Cilla_Presley on Elvis relationship: 'Our marriage was very important to him' https://t.co/6vMLT2etnx,Mon Mar 26 12:30:50 +0000 2018,0.2716,0.16,0.84,0.0,75
376,@FoxNews,.@hogangidley45 on @foxandfriends: “The president understands that walls work.” https://t.co/EKq7pFAq1W,Mon Mar 26 12:08:32 +0000 2018,0.0,0.0,1.0,0.0,76
377,@FoxNews,".@SacramentoKings, Boston @Celtics players honor unarmed black man killed by police https://t.co/ynFJyFrmHL",Mon Mar 26 12:05:26 +0000 2018,-0.3182,0.181,0.565,0.254,77
378,@FoxNews,.@hogangidley45 on @foxandfriends: “This president has not softened or weakened any position that Barack Obama had… https://t.co/81Gd9Xs4xF,Mon Mar 26 12:02:46 +0000 2018,0.2411,0.109,0.891,0.0,78
379,@FoxNews,Skylar Fontaine: “I just love America so much. I care about our military so much.” https://t.co/flyW7LMf8h… https://t.co/gSd9Pw5Y0u,Mon Mar 26 11:53:10 +0000 2018,0.8261,0.354,0.646,0.0,79
380,@FoxNews,Marine's 2-year-old brother takes his place in girlfriend's prom photos https://t.co/flyW7LMf8h @foxandfriends https://t.co/HVcpbNX8mb,Mon Mar 26 11:49:50 +0000 2018,0.0,0.0,1.0,0.0,80
381,@FoxNews,Stuart Varney: “President Trump has a consistent style. He negotiates…and that’s exactly what he’s done with China.… https://t.co/F1UCPweQG0,Mon Mar 26 11:29:40 +0000 2018,0.0,0.0,1.0,0.0,81
382,@FoxNews,"Off-duty New Jersey police officer dies from gunshot wound, officials say https://t.co/XphDJfgSBr",Mon Mar 26 11:27:30 +0000 2018,0.0,0.0,1.0,0.0,82
383,@FoxNews,.@dbongino on gun control debate: “The only question out there is what are we going to do to defend our kids agains… https://t.co/Da6GRiykAr,Mon Mar 26 11:23:47 +0000 2018,-0.34,0.0,0.902,0.098,83
384,@FoxNews,"Moments ago, President @realDonaldTrump tweeted about the economy. https://t.co/Aj5sSKyESX",Mon Mar 26 11:16:54 +0000 2018,0.0,0.0,1.0,0.0,84
385,@FoxNews,Art Del Cueto: “You can’t put a price on border security. The reality is that we need a better system.”… https://t.co/PffrgyfLoI,Mon Mar 26 11:03:06 +0000 2018,0.6486,0.238,0.762,0.0,85
386,@FoxNews,Art Del Cueto on U.S. Army Corps of Engineers: “We’d welcome them to build the wall.” https://t.co/8vAXylKcDQ… https://t.co/Wx91LvZIDg,Mon Mar 26 11:00:03 +0000 2018,0.4588,0.15,0.85,0.0,86
387,@FoxNews,OPINION: Reagan was the 'Great Communicator' but Trump may be a more powerful one (via @FoxNewsOpinion) https://t.co/tGppyjeEew,Mon Mar 26 10:48:55 +0000 2018,0.771,0.323,0.677,0.0,87
388,@FoxNews,.@dbongino on @foxandfriends: @TheJusticeDept and the @FBI are not unaccountable. https://t.co/hnrQmRefj6,Mon Mar 26 10:45:45 +0000 2018,0.0,0.0,1.0,0.0,88
389,@FoxNews,An aerial photo clearly shows the line between where snow fell and where rain fell in Indiana. https://t.co/vYarac1HOO,Mon Mar 26 10:35:40 +0000 2018,0.4019,0.137,0.863,0.0,89
390,@FoxNews,"JUST IN: Lawyer for Michael Cohen, Trump’s personal attorney, sends Stormy Daniels cease and desist letter demandin… https://t.co/92yAn4Kvdc",Mon Mar 26 10:29:02 +0000 2018,0.0,0.0,1.0,0.0,90
391,@FoxNews,.@CharlesHurt: “The wall alone is one of the most important parts of the Trump agenda.” https://t.co/LDwsdFovY8,Mon Mar 26 10:24:26 +0000 2018,0.024,0.116,0.774,0.111,91
392,@FoxNews,Gun maker Remington files for bankruptcy https://t.co/ZHDYcBffke,Mon Mar 26 09:43:13 +0000 2018,-0.34,0.0,0.714,0.286,92
393,@FoxNews,Mass held for French officer who took hostage's place https://t.co/kXZyRNTRLf https://t.co/crZ4ZTfkAv,Mon Mar 26 09:42:14 +0000 2018,0.0,0.0,1.0,0.0,93
394,@FoxNews,".@Theonlyhonest: “The president’s been harder on some Americans, like NFL players, than he has on Russia.” https://t.co/iycIeLhTpc",Mon Mar 26 09:33:55 +0000 2018,0.3612,0.135,0.865,0.0,94
395,@FoxNews,Fox News Poll:  Gap narrows on 2018 vote preference https://t.co/HBeqUgkn3D https://t.co/Omg6DRsJJ2,Mon Mar 26 09:26:04 +0000 2018,0.0,0.0,1.0,0.0,95
396,@FoxNews,Fox News Poll: 37% favor allowing teachers to carry guns. https://t.co/GBFEtQ5LYb https://t.co/4KruaIgu0s,Mon Mar 26 09:00:00 +0000 2018,0.4019,0.197,0.803,0.0,96
397,@FoxNews,"SNOW MORE GRASS HERE: One resident of New Whiteland, Indiana didn't let a snowstorm stop him from yardwork over the… https://t.co/RSSltBotUk",Mon Mar 26 08:45:00 +0000 2018,0.2235,0.09,0.91,0.0,97
398,@FoxNews,"Democratic strategist Sammi Brown on spending bill: ""There was no real reform here."" https://t.co/mQoKnGJVfR https://t.co/wqe7JWk8Mk",Mon Mar 26 08:41:21 +0000 2018,-0.296,0.0,0.864,0.136,98
399,@FoxNews,"Republican strategist Chris Prudhome on spending bill: ""Democrats should be ashamed of themselves.""… https://t.co/nhtnnErSZj",Mon Mar 26 08:37:14 +0000 2018,-0.4767,0.0,0.807,0.193,99
400,@nytimes,The Getty Conservation Institute helps solve the mystery of brown spots in King Tut’s burial chamber once and for a… https://t.co/HstzedLBAa,Tue Mar 27 00:17:05 +0000 2018,0.5267,0.188,0.812,0.0,0
401,@nytimes,RT @maggieNYT: NEWS: Trump Talks of Bringing Back Rob Porter  https://t.co/1BleAd2VZN,Tue Mar 27 00:02:02 +0000 2018,-0.5574,0.0,0.735,0.265,1
402,@nytimes,"Villanova has a beloved team chaplain, too https://t.co/cMje3sdrCj",Mon Mar 26 23:47:06 +0000 2018,0.5106,0.355,0.645,0.0,2
403,@nytimes,"RT @nytimesworld: She escaped a 1942 roundup of Jews in Paris, and died in a 2018 hate crime https://t.co/bwlI9EawZ1",Mon Mar 26 23:32:04 +0000 2018,-0.8957,0.0,0.565,0.435,3
404,@nytimes,Linda Brown has died. The Kansas schoolgirl came to symbolize the transformative Brown v. Board of Education desegr… https://t.co/a0bJJfESbP,Mon Mar 26 23:17:04 +0000 2018,-0.5574,0.0,0.833,0.167,4
